"Date","Price","Open","High","Low","Vol.","Change %"
"04/06/2022","56.85","56.50","56.85","55.75","2.46M","-0.18%"
"04/05/2022","56.95","56.90","56.95","56.05","1.03M","0.09%"
"04/04/2022","56.90","55.90","56.90","55.90","1.67M","1.61%"
"04/01/2022","56.00","56.50","56.85","55.75","2.00M","-1.75%"
"03/31/2022","57.00","55.75","57.00","55.70","4.28M","2.43%"
"03/30/2022","55.65","54.60","55.90","54.60","3.85M","2.30%"
"03/29/2022","54.40","54.70","54.80","53.60","1.09M","0.00%"
"03/28/2022","54.40","54.60","54.60","53.50","1.36M","-0.27%"
"03/25/2022","54.55","53.65","54.75","53.15","2.41M","3.02%"
"03/24/2022","52.95","53.85","54.25","52.95","5.77M","-1.85%"
"03/23/2022","53.95","54.00","54.10","53.05","1.80M","-0.46%"
"03/22/2022","54.20","52.30","54.20","52.30","2.37M","4.03%"
"03/21/2022","52.10","53.55","53.55","52.10","3.72M","-1.33%"
"03/18/2022","52.80","53.85","54.50","52.55","3.95M","-2.58%"
"03/17/2022","54.20","53.25","54.55","53.05","6.01M","3.73%"
"03/16/2022","52.25","53.00","53.25","52.05","5.68M","-1.42%"
"03/15/2022","53.00","52.15","53.25","50.55","5.17M","1.92%"
"03/14/2022","52.00","54.00","54.00","51.65","4.01M","-6.31%"
"03/11/2022","55.50","55.20","55.70","55.20","3.62M","0.82%"
"03/10/2022","55.05","54.60","55.60","54.60","5.33M","2.42%"
"03/09/2022","53.75","52.50","54.35","52.50","6.14M","2.38%"
"03/08/2022","52.50","55.20","55.20","52.50","10.41M","-5.06%"
"03/07/2022","55.30","58.00","58.00","55.30","8.37M","-4.90%"
"03/04/2022","58.15","57.90","58.60","57.45","2.68M","1.13%"
"03/03/2022","57.50","57.10","58.15","57.10","2.11M","0.70%"
"03/02/2022","57.10","58.50","58.50","57.10","4.08M","-1.55%"
"03/01/2022","58.00","58.20","59.15","57.80","5.30M","1.58%"
"02/28/2022","57.10","59.05","59.55","57.10","7.08M","-4.03%"
"02/24/2022","59.50","60.50","60.85","58.70","11.34M","-0.58%"
"02/23/2022","59.85","60.20","60.50","59.40","5.14M","-1.48%"
"02/22/2022","60.75","60.00","60.75","59.40","1.43M","1.25%"
"02/21/2022","60.00","60.30","60.60","59.70","2.08M","-0.50%"
"02/18/2022","60.30","60.20","60.60","59.65","3.29M","0.17%"
"02/17/2022","60.20","59.55","60.65","59.55","2.16M","0.84%"
"02/16/2022","59.70","59.00","60.00","59.00","2.36M","1.53%"
"02/15/2022","58.80","59.60","59.75","58.10","3.76M","-1.18%"
"02/14/2022","59.50","59.20","60.20","58.85","1.82M","0.85%"
"02/11/2022","59.00","59.80","60.00","58.30","4.31M","-1.34%"
"02/10/2022","59.80","59.70","60.90","59.70","2.97M","0.17%"
"02/09/2022","59.70","59.85","61.00","59.60","4.29M","-0.33%"
"02/08/2022","59.90","59.60","60.90","59.60","2.88M","1.01%"
"02/07/2022","59.30","59.60","63.50","59.30","12.24M","-0.25%"
"02/04/2022","59.45","59.45","59.85","59.45","1.61M","0.08%"
"02/03/2022","59.40","59.75","59.90","59.35","2.49M","-0.25%"
"02/02/2022","59.55","59.00","59.85","58.95","3.51M","1.10%"
"01/31/2022","58.90","57.80","59.25","57.80","4.87M","2.35%"
"01/28/2022","57.55","57.95","58.00","57.05","3.82M","-0.78%"
"01/27/2022","58.00","56.00","58.30","56.00","3.57M","3.57%"
"01/26/2022","56.00","56.25","56.25","55.70","2.80M","-0.44%"
"01/25/2022","56.25","57.00","57.30","56.25","2.93M","-1.32%"
"01/24/2022","57.00","57.30","57.35","56.90","2.56M","-0.52%"
"01/21/2022","57.30","58.15","58.15","57.05","5.86M","-1.55%"
"01/20/2022","58.20","58.00","58.50","57.15","1.52M","0.34%"
"01/19/2022","58.00","58.00","58.50","57.25","2.50M","-1.53%"
"01/18/2022","58.90","57.60","58.90","57.60","994.29K","2.43%"
"01/17/2022","57.50","57.80","58.40","57.50","2.33M","-0.52%"
"01/14/2022","57.80","59.00","59.00","57.30","6.79M","-2.36%"
"01/13/2022","59.20","57.70","59.20","57.65","6.48M","2.60%"
"01/12/2022","57.70","55.80","57.70","55.80","5.72M","3.41%"
"01/11/2022","55.80","55.00","56.50","55.00","5.76M","1.09%"
"01/10/2022","55.20","53.10","55.20","52.40","5.40M","3.18%"
"01/07/2022","53.50","53.25","53.50","52.80","2.05M","0.00%"
"01/06/2022","53.50","53.85","53.85","52.90","1.92M","-0.93%"
"01/05/2022","54.00","53.50","54.50","52.70","6.33M","0.00%"
"01/03/2022","54.00","54.00","54.80","52.90","6.67M","-3.05%"
"12/31/2021","55.70","55.80","56.15","54.10","4.65M","-2.28%"
"12/29/2021","57.00","55.00","57.10","54.85","11.13M","3.64%"
"12/28/2021","55.00","54.60","55.00","54.60","4.03M","0.00%"
"12/27/2021","55.00","54.60","55.00","53.65","1.03M","0.73%"
"12/24/2021","54.60","54.90","54.90","54.30","972.33K","-0.73%"
"12/23/2021","55.00","53.00","55.30","52.95","9.86M","3.58%"
"12/22/2021","53.10","53.00","53.10","52.20","2.78M","0.28%"
"12/21/2021","52.95","52.90","53.20","52.50","7.78M","0.09%"
